Comment,Designator,Footprint,LCSC
0805W8F1002T5E,"R1,R2,R3,R4",R0805,C17414
FPC-05FB-12PH20,"U2,U3",FPC-SMD_12P-P0.50_XUNPU_FPC-05FB-12PH20,C2856829
BSS138_C7420339,"U4,U5",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C7420339
