Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,0805W8F1002T5E,R0805,206.025,-124.425,180.0,top
R2,0805W8F1002T5E,R0805,206.025,-114.925,0.0,top
R3,0805W8F1002T5E,R0805,199.025,-114.925,0.0,top
R4,0805W8F1002T5E,R0805,199.025,-124.425,0.0,top
U2,FPC-05FB-12PH20,FPC-SMD_12P-P0.50_XUNPU_FPC-05FB-12PH20,183.55,-85.65,0.0,top
U3,FPC-05FB-12PH20,FPC-SMD_12P-P0.50_XUNPU_FPC-05FB-12PH20,183.500025,-105.274968,180.0,top
U4,BSS138_C7420339,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,206.025,-119.925,90.0,top
U5,BSS138_C7420339,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,199.075038,-119.925,90.0,top
